ClosePort 411306375
close 411306890
closed 411306890
IntStart open 411307203
open 411307218
RX ackd 411307406
RX out 411307750
RX ackd 411307765
RX out 411307828
RX ackd 411307875
RX out 411307890
RX ackd 411308031
RX out 411308046
RX ackd 411309328
RX out 411309343
RX ackd 411309750
RX out 411309796
RX ackd 411309828
RX out 411309843
RX ackd 411309937
RX out 411309953
RX ackd 411310062
RX out 411310062
RX ackd 411310187
RX out 411310187
RX ackd 411310406
RX out 411310421
RX ackd 411310500
RX out 411310515
RX ackd 411310625
RX out 411310625
RX ackd 411310718
RX out 411310734
RX ackd 411311390
RX out 411311421
RX ackd 411311515
RX out 411311531
RX ackd 411311859
RX out 411311890
RX ackd 411311968
RX out 411311968
RX ackd 411312640
RX out 411312640
RX ackd 411312734
RX out 411312734
RX ackd 411313171
RX out 411313187
RX ackd 411313281
RX out 411313281
RX ackd 411313953
RX out 411313968
RX ackd 411314015
RX out 411314109
RX ackd 411314125
RX out 411314250
RX ackd 411314265
RX out 411314343
RX ackd 411314796
RX out 411314906
RX ackd 411314937
RX out 411315015
RX ackd 411315046
RX out 411315125
RX ackd 411315156
RX out 411315265
RX ackd 411315312
RX out 411315390
RX ackd 411315406
RX out 411315656
RX ackd 411315875
RX out 411315890
RX ackd 411315906
RX out 411315906
RX ackd 411316015
RX out 411316031
RX ackd 411316125
RX out 411316140
RX ackd 411316375
RX out 411316375
RX ackd 411316484
RX out 411316484
RX ackd 411316640
RX out 411316640
RX ackd 411316703
RX out 411316703
RX ackd 411317390
RX out 411317390
RX ackd 411317500
RX out 411317500
RX ackd 411317937
RX out 411317937
RX ackd 411318031
RX out 411318046
RX ackd 411318703
RX out 411318718
RX ackd 411318796
RX out 411318843
RX ackd 411318843
RX out 411318968
RX ackd 411319078
RX out 411319125
RX ackd 411319125
RX out 411319234
RX ackd 411319250
RX out 411319343
RX ackd 411319390
RX out 411319640
RX ackd 411319859
RX out 411319890
RX ackd 411319906
RX out 411319921
RX ackd 411320031
RX out 411320031
RX ackd 411320140
RX out 411320140
RX ackd 411320375
RX out 411320375
RX ackd 411320468
RX out 411320468
RX ackd 411320593
RX out 411320593
RX ackd 411320687
RX out 411320687
RX ackd 411321359
RX out 411321390
RX ackd 411321484
RX out 411321515
RX ackd 411321546
RX out 411321640
RX ackd 411321671
RX out 411321781
RX ackd 411321812
RX out 411321875
RX ackd 411321921
RX out 411322218
RX ackd 411322437
RX out 411322437
RX ackd 411322562
RX out 411322562
RX ackd 411322671
RX out 411322687
RX ackd 411322765
RX out 411322781
RX ackd 411323015
RX out 411323015
RX ackd 411323125
RX out 411323125
RX ackd 411323218
RX out 411323250
RX ackd 411323328
RX out 411323328
RX ackd 411324031
RX out 411324031
RX ackd 411324156
RX out 411324187
RX ackd 411324250
RX out 411324296
RX ackd 411324375
RX out 411324375
RX ackd 411324406
RX out 411324484
RX ackd 411324531
RX out 411324812
RX ackd 411325031
RX out 411325093
RX ackd 411325109
RX out 411325125
RX ackd 411325234
RX out 411325250
RX ackd 411325359
RX out 411325359
RX ackd 411325593
RX out 411325593
RX ackd 411325687
RX out 411325703
RX ackd 411325796
RX out 411325828
RX ackd 411325906
RX out 411325921
RX ackd 411326546
RX out 411326578
RX ackd 411326671
RX out 411326687
RX ackd 411327171
RX out 411327171
RX ackd 411327250
RX out 411327250
RX ackd 411327921
RX out 411327937
RX ackd 411328015
RX out 411328031
RX ackd 411328453
RX out 411328468
RX ackd 411328562
RX out 411328562
RX ackd 411329218
RX out 411329234
RX ackd 411329328
RX out 411329328
RX ackd 411329812
RX out 411329828
ClosePort 411440453
close 411440953
closed 411440953
IntStart open 411441281
open 411441312
RX ackd 411441453
RX out 411441796
RX ackd 411441796
RX out 411441828
RX ackd 411441921
RX out 411441921
RX ackd 411442031
RX out 411442062
RX ackd 411443125
RX out 411443125
RX ackd 411443156
RX out 411443171
RX ackd 411443265
RX out 411443281
RX ackd 411443390
RX out 411443406
RX ackd 411443515
RX out 411443531
RX ackd 411443734
RX out 411443734
RX ackd 411443875
RX out 411443890
RX ackd 411444000
RX out 411444000
RX ackd 411444093
RX out 411444093
RX ackd 411444812
RX out 411444828
RX ackd 411444921
RX out 411444937
RX ackd 411445296
RX out 411445312
RX ackd 411445343
RX out 411445359
RX ackd 411446062
RX out 411446062
RX ackd 411446171
RX out 411446171
RX ackd 411446609
RX out 411446640
RX ackd 411446734
RX out 411446734
RX ackd 411447437
RX out 411447453
RX ackd 411447468
RX out 411447562
RX ackd 411447656
RX out 411447687
RX ackd 411447687
RX out 411447812
RX ackd 411448250
RX out 411448312
RX ackd 411448343
RX out 411448406
RX ackd 411448500
RX out 411448531
RX ackd 411448546
RX out 411448656
RX ackd 411448734
RX out 411448984
RX ackd 411449234
RX out 411449234
RX ackd 411449250
RX out 411449265
RX ackd 411449375
RX out 411449390
RX ackd 411449484
RX out 411449484
RX ackd 411449687
RX out 411449718
RX ackd 411449843
RX out 411449843
RX ackd 411450000
RX out 411450015
RX ackd 411450062
RX out 411450125
RX ackd 411450750
RX out 411450765
RX ackd 411450859
RX out 411450859
RX ackd 411451296
RX out 411451328
RX ackd 411451421
RX out 411451421
RX ackd 411452093
RX out 411452125
RX ackd 411452156
RX out 411452250
RX ackd 411452312
RX out 411452375
RX ackd 411452437
RX out 411452484
RX ackd 411452562
RX out 411452593
RX ackd 411452609
RX out 411452718
RX ackd 411452812
RX out 411452828
RX ackd 411452890
RX out 411452984
RX ackd 411453031
RX out 411453265
RX ackd 411453484
RX out 411453484
RX ackd 411453515
RX out 411453515
RX ackd 411453625
RX out 411453640
RX ackd 411453734
RX out 411453750
RX ackd 411453984
RX out 411453984
RX ackd 411454093
RX out 411454093
RX ackd 411454218
RX out 411454234
RX ackd 411454328
RX out 411454343
RX ackd 411455015
RX out 411455031
RX ackd 411455046
RX out 411455156
RX ackd 411455203
RX out 411455265
RX ackd 411455359
RX out 411455390
RX ackd 411455453
RX out 411455515
RX ackd 411455578
RX out 411455625
RX ackd 411455703
RX out 411455734
RX ackd 411455750
RX out 411456000
RX ackd 411456218
RX out 411456218
RX ackd 411456328
RX out 411456359
RX ackd 411456468
RX out 411456468
RX ackd 411456578
RX out 411456578
RX ackd 411456796
RX out 411456796
RX ackd 411456906
RX out 411456921
RX ackd 411457062
RX out 411457062
RX ackd 411457125
RX out 411457140
RX ackd 411457796
RX out 411457796
RX ackd 411457890
RX out 411457890
RX ackd 411458343
RX out 411458359
RX ackd 411458453
RX out 411458468
ClosePort 411514375
close 411514890
closed 411514890
IntStart open 411515218
open 411515234
RX ackd 411515406
RX out 411515765
RX ackd 411515781
RX out 411515812
RX ackd 411515890
RX out 411515890
RX ackd 411516046
RX out 411516046
RX ackd 411516312
RX out 411516390
RX ackd 411516406
RX out 411516406
RX ackd 411516515
RX out 411516531
RX ackd 411516609
RX out 411516625
RX ackd 411516734
RX out 411516734
RX ackd 411516953
RX out 411516953
RX ackd 411517062
RX out 411517078
RX ackd 411517171
RX out 411517171
RX ackd 411517312
RX out 411517328
RX ackd 411517390
RX out 411517406
RX ackd 411518093
RX out 411518109
RX ackd 411518187
RX out 411518203
RX ackd 411518656
RX out 411518656
RX ackd 411518750
RX out 411518750
RX ackd 411519437
RX out 411519453
RX ackd 411519546
RX out 411519593
RX ackd 411519656
RX out 411519703
RX ackd 411519812
RX out 411519828
RX ackd 411520281
RX out 411520328
RX ackd 411520343
RX out 411520421
RX ackd 411520453
RX out 411520578
RX ackd 411520656
RX out 411520718
RX ackd 411520718
RX out 411521046
RX ackd 411521265
RX out 411521281
RX ackd 411521312
RX out 411521312
RX ackd 411521437
RX out 411521437
RX ackd 411521546
RX out 411521546
RX ackd 411521765
RX out 411521781
RX ackd 411521875
RX out 411521890
RX ackd 411522046
RX out 411522046
RX ackd 411522109
RX out 411522125
RX ackd 411522796
RX out 411522828
RX ackd 411522859
RX out 411523015
RX ackd 411523109
RX out 411523109
RX ackd 411523125
RX out 411523218
RX ackd 411523296
RX out 411523312
RX ackd 411523343
RX out 411523453
RX ackd 411523515
RX out 411523609
RX ackd 411523656
RX out 411523718
RX ackd 411523718
RX out 411523984
RX ackd 411524203
RX out 411524218
RX ackd 411524343
RX out 411524343
RX ackd 411524468
RX out 411524468
RX ackd 411524562
RX out 411524593
RX ackd 411524812
RX out 411524812
RX ackd 411524906
RX out 411524906
RX ackd 411525031
RX out 411525046
RX ackd 411525125
RX out 411525140
RX ackd 411525812
RX out 411525843
RX ackd 411525937
RX out 411525953
RX ackd 411526281
RX out 411526312
RX ackd 411526390
RX out 411526390
ClosePort 432401906
close 432402406
closed 432402406
IntStart open 432402718
open 432402734
RX ackd 432402859
RX out 432403187
RX ackd 432403234
RX out 432403250
RX ackd 432403312
RX out 432403328
RX ackd 432403406
RX out 432403437
RX ackd 432404718
RX out 432404750
RX ackd 432405468
RX out 432405468
RX ackd 432405484
RX out 432405484
RX ackd 432405609
RX out 432405625
RX ackd 432405703
RX out 432405718
RX ackd 432405828
RX out 432405859
RX ackd 432406046
RX out 432406046
RX ackd 432406156
RX out 432406156
RX ackd 432406296
RX out 432406296
RX ackd 432406375
RX out 432406375
RX ackd 432407031
RX out 432407046
RX ackd 432407140
RX out 432407140
RX ackd 432407562
RX out 432407625
RX ackd 432407671
RX out 432407687
RX ackd 432408359
RX out 432408359
RX ackd 432408453
RX out 432408453
RX ackd 432408875
RX out 432408906
RX ackd 432408984
RX out 432409000
RX ackd 432409640
RX out 432409671
RX ackd 432409765
RX out 432409796
RX ackd 432409812
RX out 432409906
RX ackd 432409968
RX out 432409984
RX ackd 432410453
RX out 432410531
RX ackd 432410609
RX out 432410625
RX ackd 432410687
RX out 432410750
RX ackd 432410812
RX out 432410812
RX ackd 432410859
RX out 432410921
RX ackd 432410953
RX out 432411015
RX ackd 432411031
RX out 432411125
RX ackd 432411140
RX out 432411234
RX ackd 432411234
RX out 432411234
RX ackd 432411265
RX out 432411328
RX ackd 432411343
RX out 432411546
RX ackd 432411781
RX out 432411781
RX ackd 432411890
RX out 432411890
RX ackd 432412000
RX out 432412000
RX ackd 432412109
RX out 432412125
RX ackd 432412312
RX out 432412328
RX ackd 432412437
RX out 432412437
RX ackd 432412546
RX out 432412562
RX ackd 432412640
RX out 432412656
RX ackd 432413296
RX out 432413328
RX ackd 432413421
RX out 432413421
RX ackd 432413890
RX out 432413890
RX ackd 432413968
RX out 432413968
RX ackd 432414625
RX out 432414640
RX ackd 432414656
RX out 432414750
RX ackd 432414843
RX out 432414875
RX ackd 432414875
RX out 432414968
RX ackd 432415046
RX out 432415062
RX ackd 432415125
RX out 432415140
RX ackd 432415171
RX out 432415234
RX ackd 432415312
RX out 432415343
RX ackd 432415359
RX out 432415453
RX ackd 432415468
RX out 432415546
RX ackd 432415578
RX out 432415781
RX ackd 432416000
RX out 432416000
RX ackd 432416031
RX out 432416031
RX ackd 432416140
RX out 432416140
RX ackd 432416250
RX out 432416250
RX ackd 432416468
RX out 432416484
RX ackd 432416593
RX out 432416593
RX ackd 432416734
RX out 432416734
RX ackd 432416796
RX out 432416859
RX ackd 432417453
RX out 432417500
RX ackd 432417578
RX out 432417578
RX ackd 432418000
RX out 432418031
RX ackd 432418109
RX out 432418125
RX ackd 432418765
RX out 432418812
RX ackd 432418828
RX out 432418921
RX ackd 432418937
RX out 432419031
RX ackd 432419046
RX out 432419140
RX ackd 432419140
RX out 432419234
RX ackd 432419328
RX out 432419359
RX ackd 432419359
RX out 432419453
RX ackd 432419468
RX out 432419593
RX ackd 432419656
RX out 432419687
RX ackd 432419765
RX out 432419796
RX ackd 432419812
RX out 432419906
RX ackd 432419968
RX out 432420156
RX ackd 432420375
RX out 432420390
RX ackd 432420390
RX out 432420421
RX ackd 432420515
RX out 432420515
RX ackd 432420625
RX out 432420625
RX ackd 432420843
RX out 432420843
RX ackd 432420953
RX out 432420968
RX ackd 432421046
RX out 432421109
RX ackd 432421156
RX out 432421171
RX ackd 432421828
RX out 432421843
RX ackd 432421921
RX out 432421937
RX ackd 432422359
RX out 432422390
RX ackd 432422484
RX out 432422500
RX ackd 432423171
RX out 432423171
RX ackd 432423265
RX out 432423265
RX ackd 432423687
RX out 432423750
RX ackd 432423796
RX out 432423812
ClosePort 432424171
dtTX closing 432424234
dtTX closing 432424343
dtTX closing 432424453
dtTX closing 432424562
dtTX closing 432424671
close 432424687
closed 432424796
ClosePort 432425296
close 432425812
closed 432425812
ClosePort 432462000
close 432462515
closed 432462515
ClosePort 433515500
close 433516000
closed 433516000
IntStart open 433516312
open 433516328
RX ackd 433516468
RX out 433516812
RX ackd 433516828
RX out 433516843
RX ackd 433516937
RX out 433516953
RX ackd 433517046
RX out 433517062
RX ackd 433518343
RX out 433518375
RX ackd 433519640
RX out 433519656
RX ackd 433519656
RX out 433519703
RX ackd 433519765
RX out 433519796
RX ackd 433519890
RX out 433519890
RX ackd 433520000
RX out 433520000
RX ackd 433520218
RX out 433520218
RX ackd 433520328
RX out 433520328
RX ackd 433520421
RX out 433520453
RX ackd 433520546
RX out 433520546
RX ackd 433521187
RX out 433521218
RX ackd 433521312
RX out 433521312
RX ackd 433521734
RX out 433521765
RX ackd 433521843
RX out 433521875
RX ackd 433522500
RX out 433522562
RX ackd 433522609
RX out 433522625
RX ackd 433523093
RX out 433523093
RX ackd 433523171
RX out 433523171
RX ackd 433523828
RX out 433523843
RX ackd 433523921
RX out 433523937
RX ackd 433524359
RX out 433524390
RX ackd 433524468
RX out 433524500
RX ackd 433525125
RX out 433525156
RX ackd 433525171
RX out 433525281
RX ackd 433525296
RX out 433525390
RX ackd 433525421
RX out 433525468
RX ackd 433525937
RX out 433526000
RX ackd 433526031
RX out 433526093
RX ackd 433526187
RX out 433526187
RX ackd 433526281
RX out 433526281
RX ackd 433526375
RX out 433526406
RX ackd 433526484
RX out 433526500
RX ackd 433526593
RX out 433526593
RX ackd 433526656
RX out 433526703
RX ackd 433526718
RX out 433526906
RX ackd 433527125
RX out 433527125
RX ackd 433527156
RX out 433527171
RX ackd 433527265
RX out 433527281
RX ackd 433527359
RX out 433527375
RX ackd 433527593
RX out 433527593
RX ackd 433527703
RX out 433527703
RX ackd 433527843
RX out 433527843
RX ackd 433527921
RX out 433527921
RX ackd 433528578
RX out 433528593
RX ackd 433528687
RX out 433528687
RX ackd 433529109
RX out 433529171
RX ackd 433529218
RX out 433529234
RX ackd 433529890
RX out 433529906
RX ackd 433530000
RX out 433530000
RX ackd 433530421
RX out 433530453
RX ackd 433530531
RX out 433530546
RX ackd 433531187
RX out 433531250
RX ackd 433531343
RX out 433531375
RX ackd 433531406
RX out 433531484
RX ackd 433531484
RX out 433531484
RX ackd 433531562
RX out 433531578
RX ackd 433531640
RX out 433531687
RX ackd 433531703
RX out 433531796
RX ackd 433531812
RX out 433531921
RX ackd 433531937
RX out 433532031
RX ackd 433532093
RX out 433532140
RX ackd 433532156
RX out 433532265
RX ackd 433532281
RX out 433532375
RX ackd 433532375
RX out 433532578
RX ackd 433532796
RX out 433532875
RX ackd 433532875
RX out 433532906
RX ackd 433532984
RX out 433533015
RX ackd 433533093
RX out 433533109
RX ackd 433533328
RX out 433533328
RX ackd 433533437
RX out 433533437
RX ackd 433533531
RX out 433533562
RX ackd 433533640
RX out 433533671
RX ackd 433534296
RX out 433534328
RX ackd 433534406
RX out 433534437
RX ackd 433534890
RX out 433534890
RX ackd 433534968
RX out 433534968
RX ackd 433535625
RX out 433535640
RX ackd 433535718
RX out 433535734
RX ackd 433536203
RX out 433536203
RX ackd 433536281
RX out 433536281
RX ackd 433536937
RX out 433536953
RX ackd 433537031
RX out 433537046
RX ackd 433537515
RX out 433537515
RX ackd 433537593
RX out 433537593
RX ackd 433538250
RX out 433538265
RX ackd 433538359
RX out 433538359
RX ackd 433538781
RX out 433538812
RX ackd 433538890
RX out 433538906
RX ackd 433539546
RX out 433539578
RX ackd 433539656
RX out 433539671
RX ackd 433540140
RX out 433540140
RX ackd 433540218
RX out 433540218
